gpid,comment
11,귀찮아요
11,친구들 있으면 꼭 같이 즐기시고 일단 죽으면서 배우면 즐겁습니다... 유령들을 너무 고르기 힘들다 하심 유튜브 정복하고 오셔요
11,아ㅣ니 능력!!! ^ㅣ발 능력을 보여달라고!!!! (뺑뺑이를 돌며)
11,시원이 왔져용~~>.<
11,굿
11,"일단 이 게임의 주 목적은 주어진 장비들로 증거를 찾고 유령을 맞추는 게임..이었으나 어느 정도하다 보면 그냥 장비 없이도 특징만으로 유추가 가능하나 특정 유령은 유튜브에 찾아보고 해야 특징을 외울 수 있음 고인물 단계에 돌입하면 귀신을 찾는 목적이 아닌 그냥 유령이랑 노는 목적이 돼버림어떻게 하면 더 꼴 받게 할 수 있는지, 어떻게 하면 맵을 뚫을 수 있는지 등 각종 버그와 꼼수들을 발견함뉴비들은 무조건 뉴비들끼리 하셈 안 그러면 고인물들이 알아서 다 해버림 어버버 하다가 고인물들이 다 맞추고 돌아가자고 함뉴비들끼리 해야 증거 하나하나 찾는 재미와 헌팅 때 스릴을 느낄 수 있음나는 게임을 재밌게 하고 싶다 그러면 처음 하는 사람끼리 해서 하던가 아니면 고인물 한 명을 불러서 어떻게 하는지만 배우면 누구나 쉽게 배우고 재밌게 할 수 있음작성자는 현재 유령이랑 나 잡아봐라 하면서 노는 중"
11,존잼
12,줜나 재미없음
12,오토 게임을 만들기 위해 쉬지않고 일해야 하는 게임
12,진짜 조오오오오오온나 재밌다 엘베 추가단계 업데이트 천년만년 계속해주고 지역도 더 열어주면 초갓겜될듯
12,정신이가 아파지며 거기서 오는 짜릿함에 뷰릇합니다
12,"그넘의 노가다 하나라도 줄일려고 최적화랑 깔끔한 정리병 때문에 시간 녹는 위험한 게임임  ㅋㅋ 한 두시간은 자원을 손으로 캐며 뭐가 뭔지 게임 시스템을 파악하며 이것저것 시험하는데 시간을 보내고 3시간 부터는 기초 자원 쌓아야하니 맨땅에 그냥 대충 허접한 생산라인 완성근대 발전소 연료 채워넣는게 노가다가 심하네? 전선 갈아업고 최대 한 최적화 이제 쌓인 자원으로 테크 올려서 고티어 생산 공장 만들어야하는데 기존 설비, 기존 구조가 불편해, 동선에 컨테이너가 불편해 전선이 너무 더러워서 확장에 불편해 갈아업고 갈아업고 최적화 하고 최적화 하고 이제 뭐 하나 만들 때마다 신중하게 만들어야해딱 '머리 좀 만 더 쓰면 깔쌈하게 나올거 같은데' 이 수준으로 적당한 스트레스를 주니 몰입도 잘되고 해결 했을때 그 심리적 보상도 있어서 결론은....  위험한 게임임 ㅡㅡ 20시간 했는데 최적화 병 때문에 엔딩볼려면 100시간 이상은 할듯"
12,멀미 만 참으면 괜찮음 팩토리오했따? 당신은 바로 고
12,아직 플레이를 많이 하지는 않았지만내가 공장을 만드는 게임을 좋아한다는 것을 알게해준 게임 새티스 팩토리 그저 리스펙
12,철광석 캐고 있는데... 12시간이 지났네요????????????하하하하하하하!!!!
12,말이 필요없다. 너무 즐겁다.
12,우와 환경파괴와 돈을 같이 얻을수 있다고? 완전 럭키비키자나~
13,"생각보다 머리 많이 써야하고, 입문 문턱이 조금 높은거 같은데어느정도 만 수준이 올라와주면 무궁무진하게 즐길게 많은 게임."
13,바닐라를 -완- 했으면대형모드를 -완.......은 못하겟다!
13,이제좀 이게임이 뭔지 좀 알것같은데재미있습니다.
13,그냥 하세요
13,정말 재미있습니다
13,모든걸 다 떠나서13년전 발매된 노트북에서도1년전 발매된 UMPC와 같은퍼포먼스를 보여주는게 말이 안됨..
13,첫 도전과제 달성에 10시간이 걸렸음은 이 게임의 깊이를 경고하는 느낌이다.인생이 망하기 전에 이 곳에서 벗어나야겠다.
13,당신은 타임머신을 타게 될 것입니다. ㅋㅋ
13,단순 엔딩을 향한다면 그럭저럭의 플탐이긴 하지만인프라 최적화와 작곡 그리고 '진짜' 자동화를 위해선100시간도 그저 티끌에 불과하다!
13,"너무 어려워...그렇다고 설정만지면서 괴물 웨이브도 안 오게 하면...그건 그냥 설계하는 프로그램이지, 게임의 원래 의도를 따라서 즐기는 것일까?"
14,톰과 제리 봤으면 일단 개추
14,카툰그림체너무귀여워!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
14,어려운데 하다보면 깰수있어서 재미있어요 (4/5)
14,"어찌저찌 올 S랭+업적작까지 클리어한 갓겜보스마다 개성적인 패턴을 가져서 공략하는 재미가 쏠쏠함.난이도는 어렵긴 하지만 충분히 수월하게 깨는 방법이 존재해서 좋았음.하이리스크 하이리턴 식으로 다 피하면서 깨면 진짜 어렵겠지만나같이 어려움을 느끼는 사람들은 회피하면서 체력 채우는 템끼고 하면 시간은 오래 걸려도 높은 랭크로 깨기 가능함.레귤러 난이도는 재미있게 깰 수 있으니 꼭 해보기를 바람.그리고 보스마다 난이도 편차가 있어서 욕나오는 보스들은 나중에 깨는 것도 재밌게 게임 즐기는 방법임.(용가리, 로봇 << 이생키들이 대표적)그리고 dlc가 많이 어려운 편에 속하는데 dlc 사면 주는 캐릭터가 성능이 많이 좋은 편이고 패링도 쉬워서꼭 사고 플레이하기를 추천함. 그냥 본편만 하더라도 캐릭터빨로 쉽고 높은 랭크로 쭉 꺨 수 있음."
14,아니 쐈다ㄱ아니 점프했ㄷ아니 눌렀다ㄱ아니 이게 죽는다고x100
14,좋은 게임!
14,진짜 너무재밌습니다 무조권 하세요!!(dlc까지)
14,로봇 이 씨1팔 도박은 왜 쳐 해가지고
14,이상하다 톰과 제리에선 이렇게 쉽게 안죽던데
15,"난이도 >🔲 매우 쉬움🔲 쉬움🔲 보통✅ 어려움🔲 매우 어려움< 그래픽 >🔲 매우 나쁨🔲 나쁨🔲 보통🔲 좋음✅ 매우 좋음🔲 그래픽에 사람을 갈아넣음< 음악 >🔲 나쁨🔲 평범함🔲 좋음✅ 귀가 정화됨< 스토리 >🔲 이 게임은 스토리라는게 없음🔲 특정 층을 노린 스토리임🔲 스토리는 안좋은 편임🔲 평범한 스토리임✅ 스토리가 탄탄하고 잘쓰여짐🔲 끝까지 하고 눈물을 흘림< 가격 >🔲 공짜🔲 이정도면 거저임🔲 쌈✅ 제값임🔲 비쌈🔲 돈낭비< 요구사양 >🔲 저사양✅ 평균🔲 고사양< 플레이타임 >🔲 매우짧음 (0 - 3 시간)🔲 짧음 (3 - 15 시간)✅ 보통 (15-50 시간)🔲 김 (50-90 시간)🔲 매우 김 (90시간 이상)< 재미 >🔲 재미없음🔲 그럭저럭 재미있음🔲 재미있음✅ 매우 재미있음< 재탕성 >✅ 딱 한번 할정도임🔲 몇달 후에 다시 할만함🔲 몇년 후에 다시 할만함🔲 언제든 다시해도 재밌을듯 함*수집욕이 있으신분은 몇번해도 괜찮습니다.*< 최종적으로 살만 한가? >🔲 과거로 돌아가면 안샀음🔲 세일을 기다림✅ 과거로 돌아가도 정가로 삼개인적 총평전작은 하지 않고 세일하고 평가가 좋길래 구매하여 즐겼습니다.100% 달성은 하지않고 스토리 깨는것에 집중하여 플레이했고 16시간정도 걸렸습니다.오리라는 정령이 올빼미(?)처럼 보이는 쿠라는 친구(이자 자녀?)를 얻게되고 쿠에게 벌어지는 일이 스토리로 연계됩니다.3일간 다른게임이 손에 안잡힐정도로 게임에 몰입하게 해주었고 정말 재미있게 플레이하였습니다.꽤나 어려운 난이도로 진행하면서 상당히 많이 죽었지만 불쾌하진 않고 오히려 그 이후가 더 궁금해지는 게임이였습니다.기대했던대로 엔딩도 굉장히 인상깊었구요!세일이 아니였어도 정가로 충분히 돈값을 한다고 생각하지만 세일을 자주하니 세일을 노려보셔도 될거같습니다.다음에 1편도 꼭 해봐야겠어요. 정말 강추합니다.후속작 떡밥도 뿌려놓았던데 기대가 많이 됩니다.기억하세요, 이게임은 당신에게 ""운명""입니다.주의! 위 평가는 매우 주관적인 평가입니다.다른 분들의 생각은 저와 다를 수 있으니 참고용으로만 봐주시길 바랍니다."
15,보다 훨 쉬움
15,재밌ㅇ음
15,식목일날 하기 좋은 갓겜
15,죽어야아는 패턴들 나오는거 너무 짜증나고최종 보스전도 너무 억지 패턴 느낌이남재밌게했었지만 강추는 아님
15,탄보다 쉬웠던건내가 성장해서일까 진짜 1탄보다 쉽기 때문일까..
15,편이 입맛에 맞았다면안할 이유가 없다
15,플랫포머 좋아한다면 무조건 좋아할 게임 스토리도 좋고 조작감 액션 다 좋아요 꼭 해보길...
15,그래픽이 재밌고 게임이 이뻐요
16,내가 쯔꾸르 게임 하다가 울어본건 아마 이게 유일한 게임일 겁니다..
16,최고다
16,"재밋네, 훗 하지만 조니야.너 정말 그렇꺼야?그렇게 기억 안할꺼야?조금만 노력해봐너가 그렇게 만들었잖아!진짜 그러는 거야?"
16,도트로 느낄 수 있는 가장 아름다운 맛
16,오랜만에 엔딩까지 본 띵작
16,"게임'이 아니라 한편의 '영화'를 본 듯한 느낌. 기억의 과거로 가는 과정이 약간은 루즈하다고 생각할 수도 있을것 같다. 그러나 그 과정이 전혀 쓸모없는 과정이 아닌 결말을 위한 빌드업을 차곡차곡 쌓아가는 과정이라 개인적으로 크게 지루하다곤 생각하진 않았음,  탄탄한 스토리 전개에 떡밥회수도 잘했고 약간의 반전까지 있는 정말 잘만든 스토리게임이라 생각함. 게임 중간중간 퍼즐의 요소가 있는데 약간의 호불호가 갈릴 수 있을거 같다 생각. 굳이? 라는 생각이 들수도 있으나 개인적으로 게임맥락과 전혀 상관없는 어거지로 끼워맞추기식 퍼즐이 아니라 주인공의 기억을 거슬러 올라가는 과정에서 키포인트가 된 물체를 한번더 상기할 수 있어서 좋았음. 퍼즐의 난이도가 어렵지 않은게 좋았음, 퍼즐이 어려웠다면 스토리에 몰입하기 힘들었을듯. 러닝타임 약 3시간 정도, 너무 길지도 않고 짧지도 않은 플래이타임으로 할인할때 사둔다면 언제든지 가볍게 시작하여 재미있게 즐길 수 있을 것이다. 할인을 하지 않는다 해도 10,000원 정도에 이정도의 스토리게임을 할 수 있는건 상당히 괜찮은거 같다.ost가 정말정말 좋음 꼭꼭 소리를 켜고 플래이하는걸 추천. 아무래도 옛날게임이라 조작감이나 약간의 불편함은 있으나 적응하는데 크게 어려움은 없었고 쯔꾸르게임이 이만큼의 재미와 감동을 줄 수 있다니 놀라움. 2편과 3편이 기대가 됨."
16,솔직히 스토리가 막 엄청 슬펐진 않고 아이고.. ㅠ 정도 였는데리버 입장으로 생각하니까 아주 한탄스러운 스토리임.. 아주 그냥 조니 멱살 잡고 흔들고 싶은
16,알고 봐도 눈물 나오는 희대의 명작 ...! 정말 정말 정말 재미있어요 ㅠㅠㅠㅠ 13년이 흐른 지금에서도 전혀 촌스럽지 않고 정말 눈물 펑펑 흘리면서 재미있게 즐겼습니다..! 감사합니다 제발 더 좋은 작품 많이 많이 내주세요오오오오ㅗㅇㅇ
16,낭만. 음악이 진짜 미치긴했음
17,넷플릭스 뚝딱임
17,단조롭고 단조로워 ...
17,너무짧아
17,그린벨트랑 새만금 마렵다
17,그냥 가끔 켜서 하면 시간 가는 줄 모르고 함
17,"죽어라 일하고 집에 와서 휴식할 때... 머리 많이 쓰긴 싫은데 그저 관성적으로 따라가는 힐링 겜보다, 적당한 게임성은 가지고 있으면서 나름 힐링도 되는... 그런 정도 겜을 원할 때 딱임."
17,"간단히 말해서 랜덤으로 나오는 집, 숲, 강, 기찻길을 알맞게 연결해 거대한 지도를 만드는 게임입니다.평소에 퍼즐형 게임 좋아하고, 영토확장 게임이라 그래서 기대를 많이해서 그런지... 조금 루즈한 것 같아요.여러가지 맵이 level에 따라 주어진 것도 아니고, 그냥 고득점 내기가 목표라서 목표의식이 좀 약한 것 같습니다.I love this game's idea and cute design. However, it has an weak goal-achievement and leveling. It doesn't push me to achieve something or keep playing same condition again and again. I think it needs a kick for entertaining players."
17,킬링타임용 재밌음
17,불면증 치료게임
18,사자마자 할인하는 이런 개 씹 망겜
18,넘 재밌음
18,"심심하면 테라포밍 했다가 망해서 지구 파괴하고, 할거없어서 지구가 파괴되고, 유튜브보다가 아이디어가 떠올라서 파괴되고, 태양도초신성을 일으키며 파괴되고...   파괴 시뮬레이터   뭐 그런 게임입니다! 중독성이 있습니다!"
18,내가 스팀 계정을 만들게 된 이유이자 처음으로 했던 스팀 게임
18,왠만한 CPU GPU에서는 렉이 조금 걸림 암튼 하삼
18,실행이 안 됨
18,필수 실험앱
18,우주에 관심이 많다면 해보세요
19,완전 취저겜 쉐도우택틱스 데스페라도스 쉐도우갬빗 너무너무 짱짱맨
19,게임제작사가 결국 파산해서 너무 슬프네요키보드를 사용하는 이런 스타일의 게임 너무 재미있게 플레이 했는데 더이상 나오지 않을것같아 아쉽습니다
19,개추
19,하세요
19,산적이 없는데 리뷰가 남겨져요
19,너무너무 재밌어요~
19,"이런류의 게임을 좋아할줄 몰랐는데, 재미있다.매력적인 캐릭터와 게임속 시대의 낭만이 있다"
19,재밌음
19,처음으로 이런 게임 해봤는데 재밌네요 시원시원 한 맞은없지만 생각해서 해냈을때의 쾌감이 있네요
20,스타듀도 지루하고 농사게임 힐링게임 지루해서 안하는 나도 즐길수있게 해주는 농사 힐링게임....처음엔 러스티 혼자서 생산 물주기 수확 다 담당하지만 갈수록 씨앗만 심어주고 구경하거나 딴짓해도 되서 게임 길게 못하는분들에게 딱 안성맞춤인듯살면서 해본 방치게임중에 제일 아이디어 좋고 재미있음
20,내가 해 본 방치형 게임 중 최고인 듯일단 핸드폰 게임이 아니라서 발열이 안 나는 게 최고 좋고 다른 게임 돌리면서 이거 돌려도 팬 미친 듯이 안 돌아가고 거뜬히 할 수 있다는 점에서 너무너무 좋음캐릭터도 귀엽고 통계를 볼 수 있는 것도 개인적으로 아주 마음에 듦
20,다 깼다!알찼따!!
20,로봇 존나 느리네 시봉방꺼
20,업데이트 기원
20,처음 : 조금만 해볼까 힐링같은데마지막 : ? 왜 이렇게 시간이 지났지?
20,재미있음
20,이 게임이랑 검은신화 오공이랑 같이 샀는데 이것만 하고 있네
20,맵이5개가있는데 딱 1~2개 완료할 시점이면 질림 더할게없음
20,게임 가격보다 전기 요금이 더 나왔음
21,그래픽이랑 사운드 so cute 하지만 한 삼년 묵혔다가 더 다양한 아이템이 출시되면 그때 하겠다.
21,엄청 단순하게라도 좋으니까 NPC 넣는 기능 있으면 좋겠다이쁘게 지은 마을에 생명력이 없어서 슬퍼...
21,고작 이가격에 무궁무진한 힐링이라니오브젝트라던지 동물이라던지 NPC라던지 추가되면 좋을것같은데 사실 있어도 그만 없어도 그만...게임하면서 즐거운게 아니라 행복함반드시 해봐야하는 게임
21,게임이 너무 귀엽네요..ㅠㅠ
21,"사실 게임이라기 보다는 걍 중세힐링건설관찰사진기에 가까움지능떨어지는듯한 브금과 양,오리,새구경만 해도 심신이 안정됨건물도 뭔수를 쓴건지는 모르지만 알잘딱으로 가구도 놔주고 꾸며주는거도 개이쁨사진기 옵션도 생각 외로 엄청많아서 사진찍고 놀기에 최적임 가격이 좀 에바쎄바긴한데 난 후회 안할듯"
